time,watts
2016-01-01T06:31:41,0
2016-01-01T07:55:38,45
2016-01-01T08:11:12,0
2016-01-01T09:39:57,45
2016-01-01T10:03:39,0
2016-01-01T10:25:32,45
2016-01-01T11:07:01,0
2016-01-01T11:29:37,45
2016-01-01T11:35:13,0
2016-01-01T12:16:00,45
2016-01-01T12:22:39,0
2016-01-01T12:27:44,45
2016-01-01T12:34:52,0
2016-01-01T12:53:00,45
2016-01-01T12:56:28,0
2016-01-01T13:01:28,45
2016-01-01T13:09:21,0
2016-01-01T14:11:31,45
2016-01-01T14:17:23,0
2016-01-01T14:27:18,45
2016-01-01T14:28:27,0
2016-01-01T14:43:57,45
2016-01-01T14:44:39,0
2016-01-01T14:44:45,45
2016-01-01T14:55:04,0
2016-01-01T15:27:32,45
2016-01-01T15:28:15,0
2016-01-01T15:49:40,45
2016-01-01T15:58:52,0
2016-01-01T17:03:57,45
2016-01-01T17:11:46,0
2016-01-01T17:27:40,45
2016-01-01T17:32:35,0
2016-01-01T17:36:18,45
2016-01-01T17:46:28,0
2016-01-01T17:50:35,45
2016-01-01T17:51:56,0
2016-01-01T18:28:59,45
2016-01-01T18:29:39,0
2016-01-02T10:46:00,45
2016-01-02T10:52:20,0
2016-01-02T15:05:47,45
2016-01-02T15:05:50,0
2016-01-02T16:07:37,45
2016-01-02T16:12:08,0
2016-01-02T17:13:39,45
2016-01-02T17:32:36,0
2016-01-03T09:55:43,45
2016-01-03T10:03:10,0
2016-01-03T15:50:22,45
2016-01-03T16:02:40,0
2016-01-04T08:56:22,45
2016-01-04T08:56:52,0
2016-01-04T09:21:47,45
2016-01-04T09:28:27,0
2016-01-04T09:59:24,45
2016-01-04T09:59:56,0
2016-01-04T11:20:12,45
2016-01-04T11:33:22,0
2016-01-04T12:44:09,45
2016-01-04T12:50:55,0
2016-01-04T12:54:30,45
2016-01-04T12:59:17,0
2016-01-04T13:20:45,45
2016-01-04T13:34:31,0
2016-01-04T13:43:21,45
2016-01-04T13:54:41,0
2016-01-04T14:28:52,45
2016-01-04T14:48:24,0
2016-01-04T16:04:00,45
2016-01-04T16:15:29,0
2016-01-04T17:16:10,45
2016-01-04T17:17:16,0
2016-01-04T17:49:18,45
2016-01-04T17:59:31,0
2016-01-04T18:07:01,45
2016-01-04T18:13:28,0
2016-01-04T19:09:56,45
2016-01-04T19:10:49,0
2016-01-05T08:04:57,45
2016-01-05T08:06:26,0
2016-01-05T10:31:59,45
2016-01-05T11:01:24,0
2016-01-05T11:15:29,45
2016-01-05T11:27:36,0
2016-01-05T11:50:51,45
2016-01-05T11:55:56,0
2016-01-05T12:45:26,45
2016-01-05T13:00:35,0
2016-01-05T13:29:06,45
2016-01-05T13:29:46,0
2016-01-05T13:45:46,45
2016-01-05T14:01:48,0
2016-01-05T14:06:36,45
2016-01-05T15:28:01,0
2016-01-05T15:34:55,45
2016-01-05T15:37:26,0
2016-01-05T16:37:45,45
2016-01-05T16:48:02,0
2016-01-05T16:53:36,45
2016-01-05T18:23:12,0
2016-01-05T18:57:21,45
2016-01-05T19:03:26,0
2016-01-05T19:25:26,45
2016-01-05T19:41:06,0
2016-01-06T08:54:41,45
2016-01-06T09:39:10,0
2016-01-06T09:54:56,45
2016-01-06T09:57:34,0
2016-01-06T10:19:23,45
2016-01-06T10:25:04,0
2016-01-06T10:47:42,45
2016-01-06T10:57:46,0
2016-01-06T10:59:51,45
2016-01-06T12:30:02,0
2016-01-06T12:34:58,45
2016-01-06T12:37:13,0
2016-01-06T12:39:37,45
2016-01-06T13:13:06,0
2016-01-06T13:21:56,45
2016-01-06T13:26:07,0
2016-01-06T13:33:07,45
2016-01-06T14:06:25,0
2016-01-06T14:26:08,45
2016-01-06T14:56:32,0
2016-01-06T14:57:44,45
2016-01-06T15:10:35,0
2016-01-06T15:53:06,45
2016-01-06T16:42:09,0
2016-01-06T17:38:15,45
2016-01-06T17:40:12,0
2016-01-06T18:00:53,45
2016-01-06T18:20:50,0
2016-01-06T18:24:50,45
2016-01-06T18:25:17,0
2016-01-06T18:28:40,45
2016-01-06T18:46:39,0
2016-01-07T08:18:26,45
2016-01-07T08:19:00,0
2016-01-07T08:52:23,45
2016-01-07T09:03:10,0
2016-01-07T09:05:26,45
2016-01-07T09:14:17,0
2016-01-07T09:33:07,45
2016-01-07T09:38:34,0
2016-01-07T10:00:08,45
2016-01-07T10:37:08,0
2016-01-07T10:49:08,45
2016-01-07T10:49:46,0
2016-01-07T11:13:00,45
2016-01-07T11:48:05,0
2016-01-07T13:57:19,45
2016-01-07T14:15:02,0
2016-01-07T14:34:58,45
2016-01-07T14:48:14,0
2016-01-07T14:48:23,45
2016-01-07T14:58:42,0
2016-01-07T15:19:44,45
2016-01-07T15:20:33,0
2016-01-07T15:32:34,45
2016-01-07T15:32:56,0
2016-01-07T15:44:39,45
2016-01-07T15:50:01,0
2016-01-07T16:17:08,45
2016-01-07T16:21:52,0
2016-01-07T16:23:01,45
2016-01-07T17:02:39,0
2016-01-08T09:06:33,45
2016-01-08T09:46:07,0
2016-01-08T09:54:42,45
2016-01-08T09:58:44,0
2016-01-08T10:55:11,45
2016-01-08T10:55:17,0
2016-01-08T11:06:21,45
2016-01-08T11:10:39,0
2016-01-08T11:57:40,45
2016-01-08T12:39:23,0
2016-01-08T13:00:59,45
2016-01-08T13:02:03,0
2016-01-08T13:18:42,45
2016-01-08T13:20:18,0
2016-01-08T14:09:02,45
2016-01-08T14:19:52,0
2016-01-08T14:31:42,45
2016-01-08T14:40:45,0
2016-01-08T14:59:32,45
2016-01-08T15:07:45,0
2016-01-08T16:00:59,45
2016-01-08T16:16:43,0
2016-01-08T16:25:06,45
2016-01-08T16:37:26,0
2016-01-08T16:45:20,45
2016-01-08T17:04:12,0
2016-01-08T17:07:22,45
2016-01-08T17:22:55,0
2016-01-08T17:46:40,45
2016-01-08T17:51:37,0
2016-01-09T08:51:54,45
2016-01-09T09:11:50,0
2016-01-09T15:07:44,45
2016-01-09T15:12:45,0
2016-01-09T16:26:44,45
2016-01-09T16:27:09,0
2016-01-09T17:42:16,45
2016-01-09T17:50:10,0
2016-01-11T07:51:09,45
2016-01-11T08:19:06,0
2016-01-11T08:54:18,45
2016-01-11T09:26:40,0
2016-01-11T09:58:47,45
2016-01-11T11:33:43,0
2016-01-11T12:09:26,45
2016-01-11T12:28:29,0
2016-01-11T12:56:58,45
2016-01-11T12:59:50,0
2016-01-11T13:10:18,45
2016-01-11T13:35:44,0
